host_time_s,line
1789300741.019344,"SAMPLE,0,-2136,0"
1789300741.019486,"SAMPLE,1,-2208,996"
1789300741.019597,"SAMPLE,2,-2208,1003"
1789300741.019699,"SAMPLE,3,-2256,998"
1789300741.019800,"SAMPLE,4,-2176,999"
1789300741.019901,"SAMPLE,5,-2144,996"
1789300741.020001,"SAMPLE,6,-2172,998"
1789300741.020101,"SAMPLE,7,-2172,998"
1789300741.035284,"SAMPLE,8,-2152,1004"
1789300741.035411,"SAMPLE,9,-2136,997"
1789300741.035514,"SAMPLE,10,-2212,998"
1789300741.035623,"SAMPLE,11,-2180,1002"
1789300741.035726,"SAMPLE,12,-2224,999"
1789300741.035828,"SAMPLE,13,-2140,998"
1789300741.035929,"SAMPLE,14,-2160,996"
1789300741.036050,"SAMPLE,15,-2152,1002"
1789300741.051272,"SAMPLE,16,-2212,1000"
1789300741.051455,"SAMPLE,17,-2124,997"
1789300741.051593,"SAMPLE,18,-2204,999"
1789300741.051729,"SAMPLE,19,-2168,1000"
1789300741.051861,"SAMPLE,20,-2208,998"
1789300741.051991,"SAMPLE,21,-2260,997"
1789300741.052197,"SAMPLE,22,-2152,1000"
1789300741.052361,"SAMPLE,23,-2164,999"
1789300741.052567,"SAMPLE,24,-2132,1000"
1789300741.067342,"SAMPLE,25,-2156,998"
1789300741.067512,"SAMPLE,26,-2216,996"
1789300741.067650,"SAMPLE,27,-2200,1001"
1789300741.067779,"SAMPLE,28,-2216,997"
1789300741.067915,"SAMPLE,29,-2200,1003"
1789300741.068042,"SAMPLE,30,-2168,997"
1789300741.068234,"SAMPLE,31,-2152,997"
1789300741.068445,"SAMPLE,32,-2140,1001"
1789300741.083319,"SAMPLE,33,-2160,999"
1789300741.083490,"SAMPLE,34,-2168,997"
1789300741.083624,"SAMPLE,35,-2212,999"
1789300741.083764,"SAMPLE,36,-2224,1000"
1789300741.083895,"SAMPLE,37,-2252,998"
1789300741.084093,"SAMPLE,38,-2168,998"
1789300741.084291,"SAMPLE,39,-2196,1001"
1789300741.084474,"SAMPLE,40,-2148,997"
1789300741.099292,"SAMPLE,41,-2128,998"
1789300741.099429,"SAMPLE,42,-2140,1003"
1789300741.099533,"SAMPLE,43,-2136,995"
1789300741.099640,"SAMPLE,44,-2204,1000"
1789300741.099748,"SAMPLE,45,-2240,1002"
1789300741.099851,"SAMPLE,46,-2176,999"
1789300741.099954,"SAMPLE,47,-2200,999"
1789300741.100055,"SAMPLE,48,-2156,994"
1789300741.115278,"SAMPLE,49,-2216,1004"
1789300741.115410,"SAMPLE,50,-2144,998"
1789300741.115513,"SAMPLE,51,-2172,996"
1789300741.115616,"SAMPLE,52,-2164,999"
1789300741.115722,"SAMPLE,53,-2152,1001"
1789300741.115831,"SAMPLE,54,-2220,1000"
1789300741.115933,"SAMPLE,55,-2192,998"
1789300741.116035,"SAMPLE,56,-2160,998"
1789300741.116137,"SAMPLE,57,-2108,999"
1789300741.131347,"SAMPLE,58,-2220,998"
1789300741.131481,"SAMPLE,59,-2196,998"
1789300741.131597,"SAMPLE,60,-2148,1003"
1789300741.131708,"SAMPLE,61,-2184,996"
1789300741.131819,"SAMPLE,62,-2232,998"
1789300741.131933,"SAMPLE,63,-2224,1003"
