epoch,loss
1.000000000000000000e+02,1.013846769928932190e-01
2.000000000000000000e+02,3.707091510295867920e-02
3.000000000000000000e+02,2.265323139727115631e-02
4.000000000000000000e+02,1.619718223810195923e-02
5.000000000000000000e+02,1.252168696373701096e-02
6.000000000000000000e+02,1.012184377759695053e-02
7.000000000000000000e+02,8.396389894187450409e-03
8.000000000000000000e+02,7.068207487463951111e-03
9.000000000000000000e+02,5.999064538627862930e-03
1.000000000000000000e+03,5.117666907608509064e-03
1.100000000000000000e+03,4.385502077639102936e-03
1.200000000000000000e+03,3.777623176574707031e-03
1.300000000000000000e+03,3.273189067840576172e-03
1.400000000000000000e+03,2.853406127542257309e-03
1.500000000000000000e+03,2.502132439985871315e-03
1.600000000000000000e+03,2.206146018579602242e-03
