run_id,label,condition,window,sample_index,raw_x,dt_us,host_time_s
abnormal_pilot_01,1,abnormal,0,0,16364,0,1789344936.653324
abnormal_pilot_01,1,abnormal,0,1,16468,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,2,16480,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,3,16368,999,1789344936.653324
abnormal_pilot_01,1,abnormal,0,4,16468,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,5,16468,1002,1789344936.653324
abnormal_pilot_01,1,abnormal,0,6,16432,996,1789344936.653324
abnormal_pilot_01,1,abnormal,0,7,16440,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,8,16424,1003,1789344936.653324
abnormal_pilot_01,1,abnormal,0,9,16476,996,1789344936.653324
abnormal_pilot_01,1,abnormal,0,10,16392,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,11,16388,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,12,16400,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,13,16384,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,14,16392,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,15,16396,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,16,16444,1002,1789344936.653324
abnormal_pilot_01,1,abnormal,0,17,16416,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,18,16444,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,19,16436,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,20,16408,994,1789344936.653324
abnormal_pilot_01,1,abnormal,0,21,16440,999,1789344936.653324
abnormal_pilot_01,1,abnormal,0,22,16420,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,23,16392,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,24,16396,999,1789344936.653324
abnormal_pilot_01,1,abnormal,0,25,16392,995,1789344936.653324
abnormal_pilot_01,1,abnormal,0,26,16400,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,27,16408,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,28,16456,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,29,16400,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,30,16380,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,31,16404,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,32,16444,995,1789344936.653324
abnormal_pilot_01,1,abnormal,0,33,16436,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,34,16372,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,35,16404,1003,1789344936.653324
abnormal_pilot_01,1,abnormal,0,36,16376,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,37,16468,996,1789344936.653324
abnormal_pilot_01,1,abnormal,0,38,16384,1002,1789344936.653324
abnormal_pilot_01,1,abnormal,0,39,16404,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,40,16412,995,1789344936.653324
abnormal_pilot_01,1,abnormal,0,41,16404,1003,1789344936.653324
abnormal_pilot_01,1,abnormal,0,42,16416,995,1789344936.653324
abnormal_pilot_01,1,abnormal,0,43,16444,1001,1789344936.653324
abnormal_pilot_01,1,abnormal,0,44,16408,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,45,16412,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,46,16436,1003,1789344936.653324
abnormal_pilot_01,1,abnormal,0,47,16392,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,48,16448,998,1789344936.653324
abnormal_pilot_01,1,abnormal,0,49,16452,997,1789344936.653324
abnormal_pilot_01,1,abnormal,0,50,16368,1002,1789344936.653324
abnormal_pilot_01,1,abnormal,0,51,16432,1000,1789344936.653324
abnormal_pilot_01,1,abnormal,0,52,16408,995,1789344936.653324
abnormal_pilot_01,1,abnormal,0,53,16428,1002,1789344936.653324
