run_id,label,condition,window,sample_index,raw_x,dt_us,host_time_s
normal_50pct_pilot_01,0,normal,0,0,16324,0,1789348275.056222
normal_50pct_pilot_01,0,normal,0,1,16336,1003,1789348275.056222
normal_50pct_pilot_01,0,normal,0,2,16360,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,3,16284,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,4,16424,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,5,16392,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,6,16432,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,7,16392,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,8,16388,1002,1789348275.056222
normal_50pct_pilot_01,0,normal,0,9,16284,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,10,16412,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,11,16312,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,12,16372,997,1789348275.056222
normal_50pct_pilot_01,0,normal,0,13,16348,997,1789348275.056222
normal_50pct_pilot_01,0,normal,0,14,16408,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,15,16404,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,16,16364,995,1789348275.056222
normal_50pct_pilot_01,0,normal,0,17,16388,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,18,16388,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,19,16400,995,1789348275.056222
normal_50pct_pilot_01,0,normal,0,20,16392,1005,1789348275.056222
normal_50pct_pilot_01,0,normal,0,21,16360,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,22,16284,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,23,16436,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,24,16312,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,25,16364,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,26,16344,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,27,16388,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,28,16332,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,29,16348,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,30,16380,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,31,16376,994,1789348275.056222
normal_50pct_pilot_01,0,normal,0,32,16412,1002,1789348275.056222
normal_50pct_pilot_01,0,normal,0,33,16328,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,34,16392,995,1789348275.056222
normal_50pct_pilot_01,0,normal,0,35,16356,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,36,16376,1002,1789348275.056222
normal_50pct_pilot_01,0,normal,0,37,16344,997,1789348275.056222
normal_50pct_pilot_01,0,normal,0,38,16388,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,39,16332,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,40,16360,1002,1789348275.056222
normal_50pct_pilot_01,0,normal,0,41,16372,995,1789348275.056222
normal_50pct_pilot_01,0,normal,0,42,16412,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,43,16312,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,44,16288,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,45,16336,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,46,16312,997,1789348275.056222
normal_50pct_pilot_01,0,normal,0,47,16420,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,48,16396,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,49,16468,1002,1789348275.056222
normal_50pct_pilot_01,0,normal,0,50,16356,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,51,16452,1000,1789348275.056222
normal_50pct_pilot_01,0,normal,0,52,16384,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,53,16408,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,54,16356,1001,1789348275.056222
normal_50pct_pilot_01,0,normal,0,55,16416,996,1789348275.056222
normal_50pct_pilot_01,0,normal,0,56,16340,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,57,16332,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,58,16392,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,59,16452,999,1789348275.056222
normal_50pct_pilot_01,0,normal,0,60,16352,1003,1789348275.056222
normal_50pct_pilot_01,0,normal,0,61,16380,997,1789348275.056222
normal_50pct_pilot_01,0,normal,0,62,16368,998,1789348275.056222
normal_50pct_pilot_01,0,normal,0,63,16336,999,1789348275.056222
normal_50pct_pilot_01,0,normal,1,0,16380,0,1789348275.440042
normal_50pct_pilot_01,0,normal,1,1,16340,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,2,16400,996,1789348275.440042
normal_50pct_pilot_01,0,normal,1,3,16352,1000,1789348275.440042
normal_50pct_pilot_01,0,normal,1,4,16412,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,5,16252,996,1789348275.440042
normal_50pct_pilot_01,0,normal,1,6,16368,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,7,16364,997,1789348275.440042
normal_50pct_pilot_01,0,normal,1,8,16392,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,9,16400,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,10,16388,995,1789348275.440042
normal_50pct_pilot_01,0,normal,1,11,16380,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,12,16356,1000,1789348275.440042
normal_50pct_pilot_01,0,normal,1,13,16360,997,1789348275.440042
normal_50pct_pilot_01,0,normal,1,14,16316,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,15,16380,997,1789348275.440042
normal_50pct_pilot_01,0,normal,1,16,16284,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,17,16332,1000,1789348275.440042
normal_50pct_pilot_01,0,normal,1,18,16336,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,19,16396,995,1789348275.440042
normal_50pct_pilot_01,0,normal,1,20,16368,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,21,16352,1001,1789348275.440042
normal_50pct_pilot_01,0,normal,1,22,16368,997,1789348275.440042
normal_50pct_pilot_01,0,normal,1,23,16340,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,24,16392,998,1789348275.440042
normal_50pct_pilot_01,0,normal,1,25,16372,998,1789348275.440042
normal_50pct_pilot_01,0,normal,1,26,16400,1003,1789348275.440042
normal_50pct_pilot_01,0,normal,1,27,16320,996,1789348275.440042
normal_50pct_pilot_01,0,normal,1,28,16308,1002,1789348275.440042
normal_50pct_pilot_01,0,normal,1,29,16344,995,1789348275.440042
normal_50pct_pilot_01,0,normal,1,30,16388,999,1789348275.440042
normal_50pct_pilot_01,0,normal,1,31,16344,1000,1789348275.440042
normal_50pct_pilot_01,0,normal,1,32,16384,997,1789348275.440042
normal_50pct_pilot_01,0,normal,1,33,16348,1003,1789348275.440042
normal_50pct_pilot_01,0,normal,1,34,16372,998,1789348275.440042
normal_50pct_pilot_01,0,normal,1,35,16364,998,1789348275.440042
normal_50pct_pilot_01,0,normal,1,36,16396,1002,1789348275.440042
normal_50pct_pilot_01,0,normal,1,37,16356,994,1789348275.440042
normal_50pct_pilot_01,0,normal,1,38,16404,1001,1789348275.440042
